,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
840,AT1,Endothelial,Thbs1,Cd47,0.17171794,0.0,0.028252792,0.3620816,0.17822653,0.08375426,0.9228693,0.0,1.0,1.5444212588889718e-08,0.0013554453942653914
1463,Myofibroblasts,Neutrophils,Grn,Tnfrsf1a,0.18830897,0.0,0.023259256,0.34039718,0.22838736,0.08795028,0.9156564,0.0,1.0,1.8508158721039893e-08,0.0013623345977780551
1486,Neutrophils,Neutrophils,Mmp9,Cd44,0.17148602,0.0,0.02908703,1.7682766,0.24844912,0.26689464,0.9238987,0.0,1.0,6.3339705027111584e-09,0.00136578568109073
856,AT1,Endothelial,Tnc,Ptprb,0.21797355,0.0,0.023067325,1.3743266,0.43168855,0.473429,0.9153359,0.0,1.0,6.3339705027111584e-09,0.0013831059064282449
1505,Neutrophils,Neutrophils,Selplg,Sell,0.16808856,0.0,0.024036944,0.8352827,0.28145075,0.2137112,0.91691774,0.0,1.0,6.3339705027111584e-09,0.0014005341308312455
1328,AT1,Neutrophils,Timp2,Cd44,0.16728011,0.0,0.027493946,0.39752242,0.18533833,0.11017575,0.9218947,0.0,1.0,1.2168213684914172e-08,0.0014145544554247187
949,Myofibroblasts,Endothelial,Bst1,Cav1,0.1878777,0.0,0.022683002,0.76688594,0.32296005,0.17805296,0.91468257,0.0,1.0,6.3339705027111584e-09,0.0014286438749818913
1035,AT1,Myofibroblasts,Serping1,Lrp1,0.16539374,0.0,0.022894131,0.754111,0.29028338,0.24548098,0.9150434,0.0,1.0,6.3339705027111584e-09,0.0014570299555464385
846,AT1,Endothelial,Mmp2,Pecam1,0.20893303,0.0,0.021816956,1.4144311,0.40472695,0.54385865,0.9131513,0.0,1.0,6.3339705027111584e-09,0.0014892944963815922
1513,undefined,Neutrophils,Mif,Cd44_Cd74,0.164041,0.001,0.02626706,0.22836661,0.13275805,0.055017274,0.9202353,0.0,1.0,1.0598590530455212e-07,0.0015001270171320874
21,AT1,AT1,Thbs1,Sdc4,0.16106546,0.0,0.025342835,0.5815091,0.25376308,0.14012957,0.91891074,0.0,1.0,6.3339705027111584e-09,0.0015438453470199443
1517,undefined,Neutrophils,Thy1,Itgam_Itgb2,0.16054843,0.0,0.02363607,0.6529045,0.2665156,0.21046449,0.9162749,0.0,1.0,6.3339705027111584e-09,0.0015511921158377251
1323,AT1,Neutrophils,Col6a1,Cd44,0.15905263,0.0,0.0243776,0.63204056,0.20718908,0.14681114,0.91745216,0.0,1.0,6.3339705027111584e-09,0.001580751657080098
237,undefined,AT1,Ccl5,Sdc4,0.1584863,0.0,0.024385737,0.46121824,0.31036097,0.11299288,0.91746485,0.0,1.0,6.4912785321719106e-09,0.0015956348882896181
1597,Endothelial,undefined,H2-T23,Cd8b1,0.15794556,0.0,0.022722568,0.6365488,0.28775382,0.20818079,0.9147506,0.0,1.0,6.3339705027111584e-09,0.0015993664713994597
153,Endothelial,AT1,Cxcl12,Sdc4,0.15479054,0.0,0.023014272,0.77868307,0.27104712,0.15672773,0.9152466,0.0,1.0,6.3339705027111584e-09,0.0016331446393126302
1267,Neutrophils,Myofibroblasts,Cd14,Itgb2,0.1544072,0.0,0.023455482,0.32452434,0.22587468,0.1061448,0.9159802,0.0,1.0,2.139164096221104e-08,0.0016520610850886078
420,Endothelial,AT2,Col4a2,Sdc1,0.15393716,0.0,0.021181105,0.97835827,0.2758668,0.18812251,0.9119713,0.0,1.0,6.3339705027111584e-09,0.0016672717761079682
1637,undefined,undefined,Lck,Cd8a_Cd8b1,0.15159455,0.0,0.022563526,0.9421629,0.32294583,0.665072,0.9144763,0.0,1.0,6.3339705027111584e-09,0.0016978998704306435
