,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
663,Endothelial,Endothelial,Tgm2,Itgb1,0.19787526,0.0,0.027861064,0.48017085,0.24027723,0.08245291,0.91653526,0.0,1.0,1.1798319182142891e-08,0.0011189057499149063
1130,Neutrophils,Neutrophils,Selplg,Itgb2,0.18510076,0.0,0.034241475,0.73364484,0.2923866,0.11694238,0.92409134,0.0,1.0,6.520650573820369e-09,0.0011264183267546543
392,undefined,AT2,Ccl5,Sdc1,0.2282567,0.0,0.027783703,0.5180041,0.74181366,0.31506202,0.91642886,0.0,1.0,7.950089634025036e-09,0.0011264183267546543
877,Endothelial,Myofibroblasts,Lpl,Lrp1,0.18448299,0.0,0.029883252,0.39782965,0.2148137,0.108760186,0.9191765,0.0,1.0,2.468933596705603e-08,0.001133955805371415
597,AT1,Endothelial,Fbn1,Itgb1,0.19627732,0.0,0.02688905,0.8408144,0.26333624,0.2109495,0.9151669,0.0,1.0,6.520650573820369e-09,0.0011720166431859514
357,Myofibroblasts,AT2,Psap,Sort1,0.26425728,0.0,0.026336834,0.38955814,0.27844635,0.07924287,0.91435796,0.0,1.0,2.65673878016834e-08,0.0011874152088298367
1079,Endothelial,Neutrophils,Icam2,Itgam_Itgb2,0.18059036,0.0,0.031346068,1.177425,0.348935,0.27674508,0.920934,0.0,1.0,6.520650573820369e-09,0.0012106996743435087
774,AT1,Myofibroblasts,C4b,C3ar1,0.21924084,0.0,0.025771808,1.6252186,0.43959606,0.5493535,0.91350496,0.0,1.0,6.520650573820369e-09,0.0012460461359283363
854,Endothelial,Myofibroblasts,Col4a1,Cd44,0.1754936,0.0,0.03079793,0.43911538,0.22564732,0.09544316,0.92028934,0.0,1.0,1.6897820836218e-08,0.0012460461359283363
768,AT1,Myofibroblasts,Gas6,Mertk,0.17488927,0.0,0.029365554,0.69528776,0.27694064,0.19968948,0.918525,0.0,1.0,6.520650573820369e-09,0.0012539692928120912
590,AT1,Endothelial,Col6a2,Itga1_Itgb1,0.1936689,0.0,0.025302373,0.7147981,0.24533296,0.19573121,0.91277593,0.0,1.0,6.520650573820369e-09,0.0012579401950869118
719,AT1,Myofibroblasts,Col1a1,Cd44,0.17455019,0.0,0.030467305,0.8728236,0.26809698,0.21975437,0.9198926,0.0,1.0,6.520650573820369e-09,0.001261917312860452
606,AT1,Endothelial,Icam1,Cav1,0.21172261,0.0,0.02521454,0.7452464,0.33845788,0.12137821,0.9126374,0.0,1.0,6.520650573820369e-09,0.0012738859562491539
888,Myofibroblasts,Myofibroblasts,Fn1,Cd44,0.17171752,0.0,0.029474568,0.53804696,0.26882076,0.11495706,0.9186635,0.0,1.0,6.520650573820369e-09,0.0012899311466762313
1016,AT1,Neutrophils,Cd34,Sell,0.17131668,0.0,0.027272046,1.3120289,0.32161537,0.32256964,0.9157143,0.0,1.0,6.520650573820369e-09,0.0013020302786942205
34,AT1,AT1,Bsg,Slc16a1,0.22804025,0.0,0.024569541,0.7197169,0.29534185,0.23163636,0.91159886,0.0,1.0,6.520650573820369e-09,0.001322319740472348
955,Neutrophils,Myofibroblasts,Scgb3a1,Marco,0.1678931,0.001,0.024365807,0.4110837,0.22905457,0.13590172,0.91126275,0.0,1.0,1.1165513468929553e-07,0.0013757989158902115
1127,Neutrophils,Neutrophils,Selplg,Itgam,0.1673308,0.0,0.027500847,0.99506176,0.29261667,0.14241317,0.9160362,0.0,1.0,6.520650573820369e-09,0.0013841196027221006
1183,AT1,undefined,Lamb2,Rpsa,0.20085897,0.0,0.023295028,0.51640856,0.23053591,0.15240505,0.9094289,0.0,1.0,8.125141010909402e-09,0.001438809090148575
674,Endothelial,Endothelial,Col4a2,Cd93,0.16435981,0.0,0.022908894,0.8654877,0.31698775,0.2859652,0.90873814,0.0,1.0,6.520650573820369e-09,0.0014945468232093956
375,Neutrophils,AT2,Lcn2,Lrp2,0.2476225,0.0,0.02280024,0.6649149,0.3727663,0.19086549,0.9085408,0.0,1.0,6.520650573820369e-09,0.0014988777411877015
926,Neutrophils,Myofibroblasts,Pkm,Cd44,0.1582898,0.006,0.024768673,0.29149315,0.15293014,0.059893224,0.9119236,0.0,1.0,1.4621636507212358e-07,0.001551332160007104
695,Myofibroblasts,Endothelial,Gnai2,Ednrb,0.15793802,0.0,0.024937594,0.6369319,0.2593896,0.12219258,0.91219616,0.0,1.0,6.520650573820369e-09,0.0015645851728562366
593,AT1,Endothelial,Col5a2,Itga1_Itgb1,0.18813354,0.0,0.021935249,0.740586,0.23218861,0.18541338,0.90692115,0.0,1.0,7.116851934833998e-09,0.0015778939331910883
1275,Neutrophils,undefined,Itgb2,Thy1,0.15703166,0.0,0.024106398,0.7709416,0.26391822,0.20134501,0.91082907,0.0,1.0,6.520650573820369e-09,0.0015823425736032999
724,AT1,Myofibroblasts,Col6a1,Cd44,0.15583423,0.0,0.023908086,0.43016627,0.18471956,0.12274316,0.910493,0.0,1.0,1.880687725634811e-08,0.00160019906230084
1104,Myofibroblasts,Neutrophils,Cd14,Itgb2,0.15065943,0.0,0.021805538,0.694089,0.23381633,0.15560363,0.9066706,0.0,1.0,6.80259622057986e-09,0.0017842096755030332
591,AT1,Endothelial,Col4a4,Itga1_Itgb1,0.1844267,0.0,0.019680403,0.6191119,0.22440359,0.1480313,0.9022407,0.0,1.0,8.667660369129316e-09,0.0018031548984347291
676,Endothelial,Endothelial,Edn1,Ednrb,0.14799373,0.0,0.02184838,1.060098,0.3438119,0.4320018,0.90675354,0.0,1.0,6.520650573820369e-09,0.0018365469182603164
